stimulus,seconddur,milliseconddur,syllables,speech_rate,pitAve_Hz,pitAve_semi,pitSD_Hz,pitSD_semi,pitMax_Hz,pitMin_Hz,pitMax_semi,pitMin_semi,creak,n_creaky_seg,creak_seconddur_total,prop_creak,NC_pitAve_Hz,NC_pitAve_semi,NC_pitSD_Hz,NC_pitSD_semi,NC_pitMax_Hz,NC_pitMin_Hz,NC_pitMax_semi,NC_pitMin_semi,s_seconddur,s_milliseconddur,f2_raw,f2_norm,vowel,vowel_class,cog,sdev,skew,kurt
audio/723_SN9_mid.wav,1.909458333,1909.458333,8,4.189669845,100.9210935,-0.060949102,16.9801312,2.706296443,143.4505257,77.72838943,6.246639067,-4.36183766,Yes,1,0.08,0.041896698,101.6398985,0.077310262,16.50487015,2.608625958,143.34729,82.96642746,6.23417557,-3.23280516,0.100354167,100.3541667,1785.72227,0.529986621,æ,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN9_low.wav,1.909458333,1909.458333,8,4.189669845,100.6180657,-0.108756975,16.796215,2.677861142,143.4505257,77.72838943,6.246639067,-4.36183766,Yes,1,0.08,0.041896698,101.6387254,0.07715472,16.50279225,2.608352384,143.34729,82.96642746,6.23417557,-3.23280516,0.100354167,100.3541667,1785.72227,0.529986621,æ,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN9_high.wav,1.909458333,1909.458333,8,4.189669845,100.6181076,-0.10875145,16.79629255,2.677871215,143.4505257,77.72838943,6.246639067,-4.36183766,Yes,1,0.08,0.041896698,101.6380011,0.077058619,16.50151373,2.608183837,143.34729,82.96642746,6.23417557,-3.23280516,0.100354167,100.3541667,1785.72227,0.529986621,æ,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN8_mid.wav,1.551625,1551.625,8,5.155884959,95.65410533,-0.911289198,12.609874,2.210166145,129.4114692,74.32508043,4.463585801,-5.136947706,No,0,0,0,95.65410533,-0.911289198,12.609874,2.210166145,129.4114692,74.32508043,4.463585801,-5.136947706,0.1271875,127.1875,2117.448616,1.539076635,i,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN8_low.wav,1.551625,1551.625,8,5.155884959,95.3377129,-0.964446255,12.39334866,2.176571474,129.4114692,74.32508043,4.463585801,-5.136947706,No,0,0,0,95.3377129,-0.964446255,12.39334866,2.176571474,129.4114692,74.32508043,4.463585801,-5.136947706,0.1271875,127.1875,2117.448616,1.539076635,i,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN8_high.wav,1.551625,1551.625,8,5.155884959,95.33627749,-0.964705005,12.39326611,2.176539531,129.4114692,74.32508043,4.463585801,-5.136947706,No,0,0,0,95.33627749,-0.964705005,12.39326611,2.176539531,129.4114692,74.32508043,4.463585801,-5.136947706,0.1271875,127.1875,2117.448616,1.539076635,i,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN7_mid.wav,2.195395833,2195.395833,12,5.465984684,110.4906759,1.520842028,17.6044764,2.660000164,154.3492835,81.17035012,7.51438543,-3.611703101,No,0,0,0,110.4906759,1.520842028,17.6044764,2.660000164,154.3492835,81.17035012,7.51438543,-3.611703101,0.134395833,134.3958333,2257.92083,1.96638399,i,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN7_low.wav,2.195395833,2195.395833,12,5.465984684,110.3172348,1.494011648,17.55714179,2.656685622,154.3492835,81.17035012,7.51438543,-3.611703101,No,0,0,0,110.3172348,1.494011648,17.55714179,2.656685622,154.3492835,81.17035012,7.51438543,-3.611703101,0.134395833,134.3958333,2257.92083,1.96638399,i,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN7_high.wav,2.195395833,2195.395833,12,5.465984684,110.316888,1.493942312,17.55763044,2.656789209,154.3492835,81.17035012,7.51438543,-3.611703101,No,0,0,0,110.316888,1.493942312,17.55763044,2.656789209,154.3492835,81.17035012,7.51438543,-3.611703101,0.134395833,134.3958333,2257.92083,1.96638399,i,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN5_mid.wav,2.4203125,2420.3125,9,3.718528083,98.14685484,-0.476376218,13.57989602,2.267174327,137.6017931,79.97488812,5.525991247,-3.868572309,Yes,2,0.06,0.024790187,98.39965908,-0.429954775,13.53023139,2.253298609,137.6017931,79.97488812,5.525991247,-3.868572309,0.071104167,71.10416667,1561.969863,-0.150653677,æ,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN5_low.wav,2.4203125,2420.3125,9,3.718528083,98.14490146,-0.476776523,13.58187701,2.267609061,137.6017931,79.97488812,5.525991247,-3.868572309,Yes,2,0.06,0.024790187,98.39767493,-0.430361384,13.53228856,2.253751403,137.6017931,79.97488812,5.525991247,-3.868572309,0.071104167,71.10416667,1561.969863,-0.150653677,æ,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN5_high.wav,2.4203125,2420.3125,9,3.718528083,98.25264272,-0.457488294,13.57978399,2.265869635,137.6017931,79.97488812,5.525991247,-3.868572309,Yes,2,0.06,0.024790187,98.50913252,-0.410398619,13.527653,2.251446391,137.6017931,79.97488812,5.525991247,-3.868572309,0.071104167,71.10416667,1561.969863,-0.150653677,æ,front,8211.214301,2536.674008,-0.721734424,0.487498407
